pageid,naam,geboortedatum,geboorteplaats,overlijdensdatum,overlijdensplaats,beroep,bekend_van,periode_actief,werkt_samen_met,trivia,tekstuele_informatie
32048,IJf_Blokker,1930-09-02,Den Helder,,,"musicus, acteur, zanger","Barend is weer bezig, De Fred Haché show, Van Oekels discohoek, Zeg ns AAA, Man alleen, Seth en Fiona",1972 - ?,Wim T. Schippers,,"IJf Blokker Is een Nederlands acteur, presentator, zanger en musicus.  Blokker begint zijn carrière als slagwerker.  Hij krijgt zn opleiding aan de Muziekschool en oefent dit beroep uit van 1948 tot 1973.  Hij heeft vaste engagementen bij diverse orkesten, werkt 3 jaar in Duitsland, 6 jaar bij de Sleeswijk Revue en nog eens 3 jaar in het orkest bij Ted de Braak.  Hij geeft drumles aan Jan Keizer van BZN.  In de jaren zeventig wordt hij landelijk bekend door de rol van Barend Servet in de televisieshows De Fred Haché show, Barend is weer bezig en Van Oekels Discohoek.  Deze shows, gemaakt door Wim T.  Schippers en uitgezonden door de VPRO, veroorzaken veel ophef door blote danseressen en andere figuranten, gevloek en absurde humor.  Als Barend Servet haalt Blokker in 1973 de Nederlandse Top 40 met het nummer ""Waar moet dat heen, hoe zal dat gaan?"". Als acteur is Blokker verder te zien in bijrollen in Filmpje! en de series Zeg ns AAA, SamSam, Pompy de Robodoll en Seth en Fiona.  In een televisiebewerking van het toneelstuk Eva Bonheur van Herman Heijermans speelt Blokker in 1990 de rol van effectenmakelaar Mijpel. In de jaren tachtig presenteert hij het VPRO natuurprogramma Puur natuur.  In 1987 is Blokker de commentaarstem bij het AVRO-televisieprogramma Prijs je rijk met Fred Oster als presentator.  Ook is hij bekend als bierkenner en als striptekenaar.  Tijdens een Landelijke Fietsdag berijdt IJf met een tandemfiets het parcours voor de TROS radio.  Op 15 november 2007 neemt Blokker in het Noordbrabants Museum de zojuist uitgekomen dvd-box van De Fred Haché show in ontvangst."
35569,Jacqueline_Blom,1961-04-16,Oegstgeest,,,acteur,"Oud Geld, Loenatik, Deining, Wit licht",,,,
11707,Hein_Boele,1939-11-24,Zwolle,,,"stemacteur, acteur","De fa, iek, Pleisterkade 17, Pluizerd, Sesamstraat, Winnie de Poeh",1966 - heden,"Johnny Kraaykamp sr, Kitty Courbois, Pleuni Touw",,"Hein Boele is bij het grote publiek vooral bekend als acteur. Hij heeft in vele televisieseries, films en theaterstukken gespeeld. Zijn eerste grote televisierol is die van Wout in de comedyserie Pleisterkade 17. Sinds begin jaren tachtig is hij de stem van de pop Elmo uit Sesamstraat. Daarnaast neemt hij lange tijd de stem van Konijn in de tekenfilms van Winnie de Poeh voor zijn rekening. 1. JEUGD
Hein Boele wordt in 1939 geboren in Zwolle. Het liefst ziet zijn familie dat hij arts wordt in navolging van zijn vader, grootvader en overgrootvader. Hij besluit echter na het eindexamen gymnasium van zijn hobby zijn vak te maken en gaat naar de toneelschool in Amsterdam. Daar krijgt hij les van grote acteurs als Ton Lutz, Ank van der Moer en Ferd Sterneberg. De televisiepionier Willy van Hemert geeft in het laatste jaar les in TV-acteren. Boele zit dan in de klas met Elsje Scherjon, Huib Broos, Ineke Swanevelt en Hans Kemna. Samen met hen speelt Boele in 1963 in het door Van Hemert geschreven en geregisseerde televisiestuk Even weg. Daarna werkt hij nog vaak onder regie van Van Hemert. 2. HOORSPELEN
Na een aantal televisierollen te hebben gespeeld in onder andere Stiefbeen en zoon wordt Hein Boele door hoorspelregisseur Johan Wolder gevraagd mee te werken aan hoorspelen en gedichten. Volgens Wolder heeft Boele een stem waar hij heel veel mee kan. Wolder leert hem hoe belangrijk het is om af en toe een pauze te laten vallen. Een pauze is voor een luisteraar het moment om het gehoorde verhaal in zich op te nemen. Als hoorspelacteur moet je de luisteraar die tijd gunnen.

Van de vele hoorspelen waaraan Boele meewerkt is De jacht op de komeet hem het meest bijgebleven. In dit hoorspel moet hij na de zin “Ik ben het er niet mee eens!” gromgeluiden laten horen. Hij vindt dat onzin. Zijn collega-acteur Paul Deen brengt hem keer op keer aan het lachen, onder andere door voor hem te grommen, waardoor de scène pas na een hevige lachbui op de band staat.

Een enkele maal neemt Boele zelf de regie op zich, een vakgebied dat hij later nog enkele keren betreedt. 3. STEMACTEUR
In het begin van de jaren tachtig doet Hein Boele auditie voor de rol van Elmo in Sesamstraat, die in Amerika op dat moment wordt gespeeld door Jim Henson. Hij wordt aangenomen en heeft aanvankelijk geen moeite met de rol, totdat de Amerikaanse Elmo in 1984 van poppenspeler en dus van stem verandert. De rol wordt overgenomen door acteur Kevin Clash, die voor de nieuwe Elmo meer tempowisselingen gebruikt. Pas na veel oefenen lukt het Boele om deze timing goed over te nemen. In 2001 ontmoet hij Kevin Clash tijdens de opnames van Sesamstraat in Hilversum, bij het 25-jarig jubileum van het programma. Boele heeft het gevoel hem al jaren te kennen door de extensieve bestudering van het karakter van Elmo. Hij vraagt Clash welke stemmen hij nog meer inspreekt voor Sesame Street. Daaruit blijkt dat de beide heren eveneens de stem van Benny Rabbit spelen, qua karakter tegengesteld aan Elmo.

In het begin van de zestiger jaren speelt Boele in de televisiefilm Willem III, koning, stadhouder samen met actrice Kitty Courbois. Henny Spijker is daarbij de scriptgirl. Spijker werkt veel in de reclamewereld als voice-over. Boele is in die tijd werkzaam bij de Nederlandse Comedie en verdient ongeveer 275 gulden per maand. Een reclame inspreken levert in die jaren circa 150 gulden per spotje op. Na een gesprek met Spijker besluit Boele er achteraan te gaan of er ook voor hem werk is in de reclame. In die tijd is het “not done” om aan reclame mee te werken. Na een paar keer proberen wordt hij aangenomen. Hij spreekt duizenden radio- en TV reclames in. Via dit werk rolt hij uiteindelijk ook in de wereld van de stemacteurs. Hij spreekt bekende stemmen in zoals Pluizerd uit de gelijknamige NCRV televisieserie en bijvoorbeeld Konijn in de Winnie de Poeh-verhalen. Ook het nasynchroniseren van levende acteurs behoort tot zijn specialisatie, zoals Professor Hildebrand Slakhoorn in de film Harry Potter en de Halfbloed Prins. Ook in deze branche speelt Boele een groot aantal rollen. 4. MEDIATRAININGEN
In de jaren tachtig helpt hij zijn toenmalige buurvrouw met een toelatingsexamen voor de toneelschool in Maastricht. Zij volgt daar een cursus hoe acteurs te begeleiden in het toneelspelen. Vervolgens maakt zij hiervan haar beroep en gaat werken bij het opleidingsinstituut voor de omroepen: Santbergen. Op een bepaald moment is zij ziek en vraagt zij aan Boele of hij haar cursussen tijdelijk wil overnemen. Bij de eerste cursus wordt hij door mededocent en goeroe van Santbergen, Jaap Brand, in het diepe gegooid met de opmerking: “Hein, dit zijn onze zes cursisten, ga je gang!” Waarop hij hem met de cursisten een tijdje alleen laat.

Op de terugweg in de auto zegt Brand op resolute wijze: “Ik ga volgend jaar met de VUT. Ik wil dat je mijn taak overneemt”. Boele reageert op dat moment nogal verbaasd omdat hij niet weet wat die baan inhoudt. Brand ziet dit niet als een probleem en is er van overtuigd dat Boele zijn geschikte opvolger is. Volgens Brand is hij namelijk iemand die ogenblikkelijk kan analyseren en beschrijven wat hij ziet.

Op zijn achtenveertigste begint Boele als mediacoach/trainer bij Santbergen. In de periode dat hij werkzaam is in dit vakgebied coacht hij bijna alle Nederlandse presentatoren, van Pia Dijkstra tot Jochem van Gelder en van Anita Witzier tot Nicolette van Dam. Hij helpt Charles Groenhuizen af van een praattik en begeleidt Wendy van Dijk bij de eerste X Factor in presentatie technieken, waaronder het afdalen van een grote showtrap. Verder is hij in zijn periode na Santbergen medeverantwoordelijk voor de keuze van Thomas Verhoef als de nieuwe klusjesman en Lodewijk Hoekstra als de nieuwe tuinman in Eigen huis en tuin. Bovendien heeft hij onder andere aan de wieg gestaan van de presentatiestijl en inhoud van RTL Boulevard.

Op het moment dat Santbergen overgaat in de Media Academie en zijn cursussen worden veranderd zonder hem daarbij te betrekken, stopt Boele met zijn werkzaamheden voor dit instituut. Het geven van mediatrainingen blijft hij echter wel doen: hij begeleidt regionale televisieomroepen, geeft cursussen aan buitenlanders bij de Wereldomroep en bedrijven zoals ING Vastgoed. Ook Universiteiten en Rechterlijke Macht worden door hem getraind. Daarnaast werkt hij met Edwin Rutten aan theater- en CD producties.

In 2019 is Boele als zichzelf te zien in een aflevering van de populaire komische serie De luizenmoeder."
38440,Sophia_de_Boer,1967-05-10,Rotterdam,,,"omroeper, acteur","Take-off, Explosief, LiveShop",1987-heden,,,
8343,Casper_van_Bohemen,1964-10-27,Den Haag,,,"presentator, acteur","Goede tijden slechte tijden, Pista!, Pauwen en reigers, Beroepsgeheim",1990-heden,"Babette van Veen, Antonie Kamerling, Ingeborg Wieten",,
14043,Pierre_Bokma,1955-12-20,Parijs (Frankrijk),,,acteur,"t Schaep met de 5 pooten, t Vrije Schaep, Interview, We zijn weer thuis, Cloaca, De Uitverkorene, Minoes, Ober",1982,"Katja Schuurman, Marc-Marie Huij, egts, Frans Weisz, Carice van Houten, Loes Luca, Gijs Scholten van Aschat, Peter Blok, Willem van de Sande Bakhuyzen, Monic Hendrickx, Jaap Spijkers, Johan Simons, Gerardjan Rijnders, Alex van Warmerdam",,
9358,Filip_Bolluyt,1953-12-16,Breda,,,acteur,"Goudkust, Dossier Verhulst, Onderweg naar morgen, Sylvia Millecamshow",1977-heden,"Sylvia Millecam, Winston Gerschtanowitz",,
13203,Arthur_Boni,1934-10-21,Antwerpen (België),,,acteur,"Dat is nooit mijn naam geweest, Medisch Centrum West, Bureau Kruislaan",1965-heden,"Will Koopman, Eric Oosthoek, Nico Knapper",,
9069,Arie_Boomsma,1974-01-18,Marken,,,"presentator, omroeper, acteur","Finals, 40 dagen zonder seks, Spraakmakers, Een betere buurt, Hotdog, EO jongerendag, Ontopic, Uit de kast, Debat op 2",2000 - heden,"Tijs van den Brink, Henk van Steeg",,"Arie Boomsma begint als eerste mannelijke omroeper bij Yorin en wordt in 2003 de laatste Nederlandse man die afscheid neemt van dit beroep. Die periode, waarin het uiterlijk centraal staat, laat hij achter zich om te bewijzen dat hij meer diepgang heeft. Met programma’s als 40 dagen zonder seks en Ontopic laat hij zien dat zijn inhoudelijke talenten zeker niet onder doen voor zijn mooie verschijning. 1. STUDIETIJD EN BEGIN VAN ZIJN TELEVISIECARRIÈRE
Arie Boomsma is in 1974 geboren in Marken. Als hij voor de tweede keer havo 3 moet doen vertrekt hij naar Amerika om daar Highschool te volgen en tegelijkertijd te voet- en basketballen. Het seizoen voor deze sporten loopt af en Arie keert terug naar Nederland om alsnog zijn havo diploma te halen. Na de havo besluit hij opnieuw naar Amerika te vetrekken om in Indiana te gaan studeren.

In 1997 studeert hij af in communicatie en psychologie. Datzelfde jaar zet hij weer voet op Nederlandse bodem en gaat hij van de ene naar de andere auditie. Dit resulteert in af en toe een kleine commercial of een gastrol tot hij in 2002 een rolletje krijgt in de gescripte reality-serie Finals van BNN. Dat is de eerste klus voor televisie waarvoor hij een langere tijd betaald krijgt. In de begintijd van zijn carrière is Arie vooral bezig met wat op zijn pad komt en minder met wat hij belangrijk vindt in het leven. Pas in 2005 als hij bij de EO terechtkomt lukt het hem om die twee bij elkaar te brengen. 2. OMROEPER BIJ YORIN
Tegen het einde van Finals in 2002 wordt Arie door Harry Klooster Casting gebeld met de mededeling dat Yorin op zoek is naar een mannelijke omroeper. Hij besluit auditie te doen en moet als voorbereiding aankondigingteksten instuderen. Arie heeft een goed gevoel na de auditie en dat gevoel is wederzijds want hij wordt aangenomen.

Hij krijgt in eerste instantie een contract voor één dag in de week, maar omdat verschillende vrouwelijke collega’s zwanger worden krijgt hij de mogelijkheid om twee à drie keer per week programma’s aan te kondigen. Nadat Arie acht maanden heeft omgeroepen besluit Yorin als laatste zendgemachtigde te stoppen met het inzetten van omroepers en zo wordt Arie de laatste Nederlandse mannelijke omroeper ooit.

Arie ziet zijn omroeptijd als een goede leerschool. In vaak minder dan een minuut moet je een verhaaltje vertellen en jezelf meteen ook op een unieke manier presenteren. De acht maanden als omroeper heeft hij erg gezocht naar zijn eigen toon, in zijn achterhoofd rekening houdend met de service die je naar de kijker toe verleent. Het evenwicht vinden tussen die twee beschouwt hij als een belangrijk en leerzaam aspect van het beroep.

Naarmate de tijd vordert merkt Arie dat het omroepen op de tocht staat. In zijn woorden is het een “stervende zwaan”. Achteraf realiseert hij zich dat zijn toenmalige werk bij Yorin vooral te maken heeft gehad met de buitenkant, maar neerkijken op die tijd doet hij niet. Het is een plezierige tijd geweest waarvan hij erg genoten heeft. Nu vindt hij het een uitdaging om het beeld van toen te combineren met een nieuw beeld waarbij inhoud, maatschappelijk discussie en relevantie belangrijk zijn. 3. WANNAHAVES EN KEERPUNT
Na zijn omroeptijd presenteert Arie voor een korte periode het programma Wannahaves van SBS6. Het wordt opgenomen in een kale studio en lijkt totaal niet op het Wannahaves dat eerder door Yorin wordt uitgezonden. Dit programma ziet Arie als het dieptepunt uit zijn carrière en deze ervaring doet hem dan ook besluiten om nooit meer televisie te gaan maken waar hij zelf niet achter staat.

In de twee jaar tussen Wannahaves en zijn nieuwe contract bij de EO slaat hij een nieuw pad in en gaat hij campagnes bedenken voor een reclamebureau. Dit blijft hij doen tot hij wordt uitgenodigd om in het programma van Andries Knevel te vertellen over een boek dat hij geschreven heeft genaamd “De Bijbel - wat vind jij?”. 4. EO
Andries Knevel is onder de indruk van Arie en geeft dat bij de directie aan. De directie neemt het advies van Knevel serieus en Arie mag het programma Een betere buurt gaan presenteren, gevolgd door Ontopic en Hotdog. In 2008 gaat hij het zeer succesvolle 40 dagen zonder seks presenteren. Dit programma ziet hij als zijn doorbraak. Vanaf dat moment staat hij zowel binnen als buiten de EO meer in de schijnwerpers dan ooit tevoren. Het is dan ook het eerste programma waar hij echt trots op is.

Bij de EO heeft hij altijd ruimte gehad om mee te praten over de inhoud, maar naarmate de tijd verstrijkt komen er steeds meer strubbelingen tussen Arie en de EO. Deze strubbelingen bereiken hun hoogtepunt op het moment dat Arie drie maanden wordt geschorst.

De samenwerking die hij, zonder toestemming van de omroep, met het blad L’Homo van Linda de Mol aangaat schiet de EO in het verkeerde keelgat. Als de drie maanden vestreken zijn gaat Arie aan de slag met het programma Er loopt een man over het water, waarin cabaretiers een conference schrijven die geïnspireerd is op het verhaal van Jezus. De EO besluit dit programma terug te trekken omdat het verkeerd zou vallen bij de achterban. Dit is de druppel; de ruimte die hij in het begin heeft is er niet meer. “Het was een mooie samenwerking maar die is wel opgedroogd”, aldus Arie. 5. KRO
Via Tino Stuij, die hij nog kent van zijn tijd bij BNN, komt hij in 2009 bij de KRO terecht. In een gesprek met hem blijkt dat de KRO meer territorium op Nederland 3 wil veroveren en dat ze daarnaast meer de journalistieke kant op willen. Voor Arie is dit een schot in de roos, de uitdaging spreekt hem erg aan.

Bij de KRO zet hij zijn ambitie voort door verder te gaan met human interest programma’s zoals KRO's Uit de kast. Hierin volgt hij jongeren die wereldkundig gaan maken dat ze op mensen met hetzelfde geslacht vallen. Met In de Schaduw van het Nieuws gaat hij door “ouderwetse” studiogesprekken te voeren dieper op bepaalde thema’s in. Sinds 2011 is hij discussieleider in Debat op 2. 6. ZIJN INTERESSES ALS PROGRAMMAMAKER
Aries voorkeur voor programma’s gaat twee kanten op. Aan de ene kant geniet hij van discussieprogramma’s waarin hij door goed te luisteren meningen aan elkaar kan koppelen. Aan de andere kant vindt hij het heel bijzonder om met een kleine ploeg mee te mogen kijken in andermans leven. “Dat je wordt toegelaten op een moment dat identiteitsbepalend kan zijn”. Met dit soort programma’s hoopt Arie mensen tot nadenken aan te zetten.

Zijn doel is om iets los te maken bij de kijkers, te zorgen dat zijn programma’s iets bijdragen, iets toevoegen. Hier wil hij in de toekomst mee verder en daarnaast wil hij zich verder ontwikkelen in praatprogramma’s. Het lijkt hem bijvoorbeeld leuk om lange en interessante interviews te houden met mensen die als saai en stoffig worden gezien. Arie is tevreden met de ontwikkeling die hij doormaakt en wat hem betreft heeft hij zijn hoogtepunt nog niet bereikt maar ligt dat ergens ver in de toekomst."
9366,Corine_Boon,1964-04-23,Krommenie,,,"presentator, acteur","Goudkust, Campinglife, Eigen huis en tuin",1996 - heden,"Winston Gerschtanowitz, Froukje de Both, Lodewijk Hoekstra, Thomas Verhoef",,
12842,Kees_Boot,1970-03-26,Dronten,,,acteur,"De afdeling, All stars (serie), All stars, Floor Faber, Maten, Lek",1995-heden,"Daniël Boissevain, Cas Jansen, Victor Löw, Peter Paul Muller, Jean van de Velde, Pieter Verhoeff",,"Grote kans dat televisiekijkers hem nog kennen als manager John uit een bekende soepreclame. Kees Boot heeft inmiddels wel bewezen dat hij meer in zijn mars heeft. Niet alleen is hij veel op televisie te zien, ook heeft hij meerdere films op zijn naam staan en weet hij net zo goed het theaterpubliek voor zich te winnen. 1. Toneel

De Toneelacademie in Maastricht rondt hij niet af. Net als vele andere acteurs van zijn generatie volgt hij een opleiding aan de Amsterdamse Toneelschool.

Zijn carrière begint op het toneel bij het gezelschap Tevengebroed, die zijn naam ontleent aan de gelijknamige debuutvoorstelling in 1994. Daar deelt hij zijn liefde voor klassieke romans met collega’s als Daniël Boissevain en Ruben Lürsen. De producties van Tevengebroed zijn echter niet zo groots en meeslepend als de inspiratiebronnen doen vermoeden. Zo is de voorstelling Bierkaai uit 1998 gebaseerd op Cervantes’ Don Quichot maar is de uitvoering ervan sober. Met hetzelfde gezelschap is Kees in 2000 te zien in Kaalslag en in 2002 volgt Out.

In 1995 laat Kees zijn hartstocht voor wereldliteratuur blijken in King Lear, naar het stuk van Shakespeare, van het Amsterdams Bos. Daarop volgen rollen bij diverse toneelgroepen, waaronder in Maat voor Maat van het Nationeel Toneel en in Arturo Ui van het NNT (wederom een klassieke adaptatie, ditmaal naar de tekst van Brecht).

In 2006 staat Kees naast Simone Kleinsma en Victor Löw in het theater met Joop van den Ende’s One flew over the cuckoo’s nest. De samenwerking met Van den Ende en Kleinsma wordt in 2007 voortgezet met de muzikale voorstelling Aan het Einde van de Regenboog. In 2009 krijgt Kees zijn eerste echte musicalrol aangeboden, als de vader van kleine Ciske in Ciske de Rat: De Musical.
 2. Televisie en film

Na zijn afstuderen in 1995 krijgt hij al snel een gastrol in Baantjer, waarin hij later nog tweemaal als andere personages te zien is.

In 1999 is Kees voor het eerst in een speelfilm te zien, in het misdaaddrama Maten. Dit genre bevalt hem kennelijk goed, want in het daaropvolgende jaar speelt hij in de met Gouden Kalveren overladen politiefilm Lek. Kees blijkt een neus te hebben voor succesvolle producties aangezien ook de thriller De dominee, eveneens bekroond met een Gouden Kalf, op zijn cv prijkt.

Zijn doorbraak op televisie komt in 2000 met All stars, waarin Kees vanaf het tweede seizoen de rol van ruwe bolster Johnny vervult. In 2005 is hij te zien in de jeugdserie Hotnews.nl, waarna hij in 2006 een ambitieuze macho speelt in de met kantoorhumor doorspekte dramaserie De afdeling."
7193,Leontine_Borsato,1967-12-10,Naarden,,,"presentator, omroeper, acteur","Briefgeheim, Vrouwenvleugel, Rad van fortuin, Voetbalvrouwen",1983-heden,"Hans van der Togt, Bea Meulman, Leco van Zadelhoff",,
13296,Burny_Bos,1944-04-08,Haarlem,,,"producent, presentator, scenarioschrijver, acteur",De lawaaipapegaai presenteert,1974-heden,,,"Burny Bos is bij kinderen uit de jaren negentig vooral bekend als Ko de Boswachter, maar hij heeft veel meer gedaan, hoofdzakelijk op het gebied van kinder- en jeugdprogramma's.
 1. BURNY BOS OP RADIO EN TELEVISIE
Burny Bos werkt vanaf 1974 voor de jeugdafdeling van de AVRO en begint met geheel nieuwe aanpak van jeugdprogramma’s, Radio lawaaipapegaai als opvolger van Kleutertje luister en Bekijk het even. Eén van zijn bekendste programma’s waarvan in 1990 een televisie versie gemaakt wordt is Ko de Boswachtershow (radio) met op radio onder andere de vaste rubrieken Dieren in het Nieuws door Paul Keet en het huisorkest de Houthakkers. Het programma is bedoeld om kinderen kennis te laten maken met de natuur. De radio show wordt in de week voor de uitzending op de zondagochtend via Radio 3 opgenomen in de AVRO studio.

Wanneer de show een live uitzending op de vroege zondagochtend beleeft en Ko alle kinderen met hun vader en lievelingsdier uitnodigt, moet het programma die dag verhuizen naar de grote Concertstudio (studio 9) en is er rond het gehele studiocomplex van de AVRO geen vrije parkeerplaats meer te vinden. Het radioprogramma stopt in 1983 en Burny stapt in 1984 over naar de VPRO. In 1989 stopt Burny met zijn werkzaamheden voor de VPRO en richt hij in 1990 samen met zijn broer de produktie maatschappij Bos Bros op, die een contract afsluit met d AVRO voor de Televisie versie van Ko de Boswachtershow (radio). 2. KO DE BOSWACHTERSHOW OP TELEVISIE
In de televisie versie van Ko de Boswachtershow (televisie) kraakt Ko samen met Postbode Arnold Gleuf een boswachtershut in het Bosbessenbos om te voorkomen dat deze hut gesloopt wordt. Ko is een natuurmens en Arnold Gleuf is verzot op materiële zaken. Het conflict tussen die twee ligt dus voor de hand. Elke TV uitzending (van 15 minuten) begint met en onderdeel waarbij Ko het verband probeert te legggen tussen het gedrag van Arnold en dat van dieren, onderbouwd met fragmenten uit dierenfilms. Anton Gleuf’s post is een rubriek waarin kinderen vragen kunnen stellen en filmpjes inzenden. Een ander vast onderdeel van het programma is de ""Ko-Bus"", Ko komt met de bus naar de kinderen. 113 aflevering worden gemaakt van 1 oktober 1990 tot 4 juni 1994. 3. EIGEN PRODUCTIEMAATSCHAPPIJ EN BOEKBEWERKINGEN
Na het Boswachteravontuur richt Burny Bos zich met zijn productiemaatschappij voornamelijk op het produceren van televisie en films. Hij bewerkt een aantal boeken van Annie M.G. Schmidt tot familiefilms ( Abeltje 1999 en Minoes 2002) waarvoor hij een gouden kalf ontvangt en de televisieseries (Otje en Ibbeltje). 4."
67027,Freerk_Bos,1965-12-15,Sleen,,,acteur,"Het zandkasteel (kinderprogramma), Bibaboerderij, De Club van Sinterklaas",1993-heden,,,
32040,Peter_Bos,1950-06-20,Amsterdam,,,acteur,"De zevensprong, Zondag weet je alles, Knokken voor twee, De wandelaar",,,,
40518,Hans_Boskamp,1932-05-07,Rotterdam,2011-03-22,Dordrecht,acteur,"Floris, Oppassen!!!, Sil de Strandjutter, Ja zuster, nee zuster, Turks Fruit, De bende van hiernaast, Drie is teveel, Een fijne span, Potasch , Perlemoer",,"Joop Doderer, Michiel Kerbosch, Fred Vaassen",,"Hans Boskamp wordt op 7 mei 1932 in Rotterdam geboren als Johannes Hendricus Gerardus Hoelscher.  Hans Boskamp wordt aanvankelijk bekend als voetballer voor de Amsterdamse profclubs DWS en Ajax.  In de jaren vijftig mag hij viermaal voor het Nederlands Elftal uitkomen.  In de jaren zestig is Hans Boskamp adjunct directeur van platenmaatschappij Bovema, de Nederlandse partner van de Merseybeatband The Beatles.   In deze functie begeleidt hij in maart 1969 John Lennon en Yoko Ono tijdens de bed-in for peace in het Hilton hotel in Amsterdam.  Het meest bekend wordt Boskamp als acteur, net als zijn vader Johan Boskamp.  Vader Boskamp begint in 1952 met Johan Kaart het traditionele komische Joodse stuk Potasch , Perlemoer.  Als Kaart zijn heup breekt, valt Hans in als Perlemoer naast zijn vader die Potasch speelt.  Hans Boskamp zou in de loop der jaren nog in verschillende producties van Potasch en Perlemoer verschijnen.  Vanaf 2001 speelt Boskamp het stuk nog eens naast Michiel Kerbosch. Hans Boskamp acteert in meer memorabele producties.  Naast Jan Decleir speelt hij in Willy van Hemerts Sil de Strandjutter als Douwe.  In Floris is Boskamp te zien als de grote, bijgelovige en bebaarde Lange Pier.  Met onder andere Joop Doderer acteert hij in de klucht Drie is teveel.  In de musical My Fair Lady  verschijnt hij ten tonele in de rol van Vader Doolittle.  In de langlopende serie Oppassen!!! is Boskamp nog te zien als malle Jopie Geleinse. Hans Boskamp overlijdt op 22 maart 2011 in zijn woonplaats Dordrecht, aan de gevolgen van een herseninfarct.  Hij wordt 78 jaar oud."
12473,Ron_Boszhard,1963-11-12,Amsterdam,,,"cabaretier, presentator, regisseur, acteur, zanger","De leukste thuis, Pluk de dag, 1000 seconden, Te land, ter zee en in de lucht (programma), Te land, ter zee en in de lucht",1991 - heden,Angela Esajas,,
837,Froukje_de_Both,1972-04-20,Amsterdam,,,acteur,"Goudkust, Blind match, Niels , Froukje, Loods 7, Costa!, Zo goed als nieuw, Wie wordt de man van Froukje?, De TV makelaar",1995-heden,"Niels Hoogland, Sy, and Niessen, Angela Groothuizen, Winston Gerschtanowitz, Victoria Koblenko",,"Froukje de Both is van diverse markten thuis.  Zo combineert ze haar werk als soapactrice, filmactrice, tv-presentatrice, diskjockey en fotomodel. Jeugd en opleidingFroukje de Both groeit op in Abcoude.  Na het VWO volgt ze een korte periode de studie sociologie aan de Universiteit van Amsterdam.  Vervolgens begint ze aan de driejarige opleiding Voorlichting, Publiciteit en Informatica aan de Hogeschool Holland.  Tijdens haar studie doet ze regelmatig modellenwerk.  Na een jaar stopt ze met deze opleiding om voortaan full-time als internationaal fotomodel te gaan werken.  Ze maakt diverse modereportages, onder andere in Parijs en Milaan en woont zelfs een aantal maanden in Athene en Milaan.  Aansluitend volgt ze een jaar lang een acteeropleiding bij Het Collectief in Amsterdam.  TelevisieVoor de televisie acteert ze in en presenteert verschillende programma’s bij verschillende omroepen en zenders.  Ze speelt als actrice rollen in de politieserie Baantjer (1995), de soap Goede tijden slechte tijden en The way to dusty death.  Voor een lokaal tv-station in Amsterdam presenteert ze Vibes.  Bovendien speelt De Both in de periode 1997 – 2001 de rol van Mariette Zomers.  Ze neemt in aflevering 241 de rol van Femke-Anne Broere over in de soapserie Goudkust.  Vanaf april 2000 presenteert ze het datingprogramma Blind match (NET5).  In december 2000 ondergaan Froukje en collega-actrice Georgina Verbaan een IQ-test bij psycholoog Robert Visser.  Ook is ze te zien in de tv-serie van de speelfilm Costa!, waar ze een hoofdrol heeft.  In de Spaanse discotheek speelt ze de rol van Agnetha.  In 2001 vomt ze samen met Esther Duller en Chimène van Oosterhout het trio Gordon’s Angels in het programma van Gordon’s lifestyle (Yorin).  Ze maakt in dat jaar ook te zien in een foto reportage in de Playboy. In 2001/2002 is De Both te zien in het automagazine Zo goed als nieuw (SBS6).  Voor dit programma volgt ze speciaal een racecursus bij Tom en Tim Coronel.  In 2002 verzorgt ze ook de presentatie van het sportmagazine voor kinderen Junior watch (TROS).   Ook is ze te zien in de dertiendelige comedyserie Brandaz (NPS).   Voor de jongerenzender Yorin presenteert ze Starstrippers.  Samen met Gary Carter gaat ze op zoek naar de meest sexy mannen van Nederland.  Dit hoeven volgens De Both niet altijd het type Mister Universe te zijn.  Naast Loods 7, een woningprogramma voor Yorin, is ze tegelijkertijd bezig met de opnamen van Missie Warmoesstraat (EO) .  In het tweede seizoen van de politieserie speelt ze Suus Kaufman, de dochter van de hoofdfiguur.  Eind 2005 is ze een van de gezichten van Talpa en maakt met Gordon, Angela Groothuizen, Winston Gerschtanowitz en Victoria Koblenko het programma Thuis.  Het wordt wegens de lage kijkcijfers al snel van de buis gehaald. Ze is in 2004 te zien in de eerste editie van Dancing on ice.  In 2006 tekent ze een exclusief contract met RTL en is ze te zien in het controversiële programma Wie wordt de man van Froukje?, gevolgd door de De TV makelaar en haar voorliefde voor de autosport kan ze kwijt in  RTL GP. RadioIn mei 2002 wordt ze door Radio 538 benaderd om als diskjockey het dating onderdeel Blind Fridate voor haar rekening te nemen.  In het voorjaar van 2004 wordt het contract bij Radio 538 met twee jaar verlengd.  Samen met Niels Hoogland presenteert ze Niels , Froukje. Ze verlengt haar contract met 538 en werkt er in ieder geval tot en met 2008."
